[Sun Dec 15 12:29:36.492083 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57064] PHP Notice:  Trying to get property of non-object in C:\\wamp\\www\\Deadly-Mafia\\public\\includes\\class\\user.class.php on line 89, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:29:36.492083 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57064] PHP Stack trace:, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:29:36.492083 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57064] PHP   1. {main}() C:\\wamp\\www\\Deadly-Mafia\\public\\index.php:0, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:29:36.492083 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57064] PHP   2. User->login() C:\\wamp\\www\\Deadly-Mafia\\public\\index.php:63, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:29:50.828903 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57076] PHP Notice:  Trying to get property of non-object in C:\\wamp\\www\\Deadly-Mafia\\public\\includes\\class\\user.class.php on line 89, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:29:50.828903 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57076] PHP Stack trace:, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:29:50.828903 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57076] PHP   1. {main}() C:\\wamp\\www\\Deadly-Mafia\\public\\index.php:0, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:29:50.829903 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57076] PHP   2. User->login() C:\\wamp\\www\\Deadly-Mafia\\public\\index.php:63, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:41:24.342569 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57285] PHP Fatal error:  Call to a member function query() on a non-object in C:\\wamp\\www\\Deadly-Mafia\\public\\includes\\class\\database.class.php on line 71, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:41:24.342569 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57285] PHP Stack trace:, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:41:24.342569 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57285] PHP   1. {main}() C:\\wamp\\www\\Deadly-Mafia\\public\\index.php:0, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:41:24.342569 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57285] PHP   2. User->login() C:\\wamp\\www\\Deadly-Mafia\\public\\index.php:63, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:41:24.342569 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57285] PHP   3. Database->d_query() C:\\wamp\\www\\Deadly-Mafia\\public\\includes\\class\\user.class.php:86, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:43:38.876264 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57322] PHP Fatal error:  Call to undefined method Database::query() in C:\\wamp\\www\\Deadly-Mafia\\public\\includes\\class\\user.class.php on line 86, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:43:38.876264 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57322] PHP Stack trace:, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:43:38.876264 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57322] PHP   1. {main}() C:\\wamp\\www\\Deadly-Mafia\\public\\index.php:0, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:43:38.876264 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57322] PHP   2. User->login() C:\\wamp\\www\\Deadly-Mafia\\public\\index.php:63, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:44:36.444557 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57337] PHP Fatal error:  Call to undefined method Database::query() in C:\\wamp\\www\\Deadly-Mafia\\public\\includes\\class\\user.class.php on line 86, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:44:36.444557 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57337] PHP Stack trace:, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:44:36.444557 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57337] PHP   1. {main}() C:\\wamp\\www\\Deadly-Mafia\\public\\index.php:0, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:44:36.444557 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57337] PHP   2. User->login() C:\\wamp\\www\\Deadly-Mafia\\public\\index.php:63, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:44:41.755861 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57337] PHP Fatal error:  Call to undefined method Database::query() in C:\\wamp\\www\\Deadly-Mafia\\public\\includes\\class\\user.class.php on line 86, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:44:41.755861 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57337] PHP Stack trace:, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:44:41.755861 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57337] PHP   1. {main}() C:\\wamp\\www\\Deadly-Mafia\\public\\index.php:0, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:44:41.755861 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57337] PHP   2. User->login() C:\\wamp\\www\\Deadly-Mafia\\public\\index.php:63, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:53:54.939501 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57630] PHP Fatal error:  Call to undefined method Database::query() in C:\\wamp\\www\\Deadly-Mafia\\public\\includes\\class\\user.class.php on line 86, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:53:54.940501 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57630] PHP Stack trace:, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:53:54.940501 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57630] PHP   1. {main}() C:\\wamp\\www\\Deadly-Mafia\\public\\index.php:0, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:53:54.940501 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57630] PHP   2. User->login() C:\\wamp\\www\\Deadly-Mafia\\public\\index.php:63, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:54:25.952275 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57640] PHP Fatal error:  Call to undefined method Database::query() in C:\\wamp\\www\\Deadly-Mafia\\public\\includes\\class\\user.class.php on line 87, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:54:25.953275 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57640] PHP Stack trace:, referer: http://dm.localhost/?auth=facebook
